price,day_of_week,day,month,last_change,7_day_low,30_day_low,7_day_high,30_day_high,7_day_mean,30_day_mean,date
102786.11267605633,3.0,22.0,12.0,-786.7067683881032,100927.58571428571,98525.875,104005.25352112677,104005.25352112677,102271.69947941617,100315.18972372693,2016-12-22
102097.5352112676,4.0,23.0,12.0,-1907.7183098591631,101019.31944444444,98525.875,104005.25352112677,104005.25352112677,102438.83512184217,100399.54083036678,2016-12-23
101420.68965517242,5.0,24.0,12.0,-1365.4230208839144,101168.58333333333,98525.875,104005.25352112677,104005.25352112677,102496.17372337473,100460.5659569404,2016-12-24
103695.33333333333,1.0,27.0,12.0,1597.7981220657239,101420.68965517242,98797.94444444444,104005.25352112677,104005.25352112677,102800.9848793913,100762.9498752003,2016-12-27
103894.49295774648,2.0,28.0,12.0,2473.8033025740588,101420.68965517242,98797.94444444444,103894.49295774648,104005.25352112677,102778.83276671523,100917.36419710454,2016-12-28
104143.18309859154,3.0,29.0,12.0,447.8497652582155,101420.68965517242,98797.94444444444,104143.18309859154,104143.18309859154,103050.24685122227,101099.21739320424,2016-12-29
103290.8,4.0,30.0,12.0,-603.6929577464762,101420.68965517242,98797.94444444444,104143.18309859154,104143.18309859154,103288.89980896875,101180.38711938185,2016-12-30
103793.01492537314,5.0,31.0,12.0,-350.1681732184079,103290.8,98797.94444444444,104143.18309859154,104143.18309859154,103763.3648630089,101273.69525531011,2016-12-31
104265.86111111111,6.0,1.0,1.0,975.0611111111066,103290.8,98797.94444444444,104265.86111111111,104265.86111111111,103847.1142376926,101466.99617056867,2017-01-01
106071.27777777778,0.0,2.0,1.0,2278.262852404645,103290.8,98797.94444444444,106071.27777777778,106071.27777777778,104164.8518862762,101720.38631098383,2017-01-02
107323.125,1.0,3.0,1.0,3057.2638888888905,103290.8,99504.29166666667,107323.125,107323.125,104683.10783865715,102024.85704511081,2017-01-03
108198.5352112676,2.0,4.0,1.0,2127.2574334898236,103290.8,99504.29166666667,108198.5352112676,108198.5352112676,105297.97101773159,102331.67746764603,2017-01-04
108984.08450704225,3.0,5.0,1.0,1660.959507042251,103290.8,99504.29166666667,108984.08450704225,108984.08450704225,105989.52836179598,102667.3337595642,2017-01-05
109221.79166666667,4.0,6.0,1.0,1023.2564553990669,103793.01492537314,99504.29166666667,109221.79166666667,109221.79166666667,106836.81288560551,102999.5471440377,2017-01-06
109823.36111111111,5.0,7.0,1.0,839.2766040688584,104265.86111111111,99504.29166666667,109823.36111111111,109823.36111111111,107698.2909121395,103354.12291812668,2017-01-07
